Time	Channel A
(s)	(V)

6.05513726	-1.72384300
6.05538727	-1.74337700
6.05563729	-1.72384300
6.05588731	-1.74337700
6.05613732	-1.73849300
6.05638734	-1.71896000
6.05663735	-1.72872700
6.05688737	-1.74337700
6.05713739	-1.72384300
6.05738740	-1.73361000
6.05763742	-1.72872700
6.05788743	-1.73361000
6.05813745	-1.73849300
6.05838747	-1.73849300
6.05863748	-1.73361000
6.05888750	-1.71407600
6.05913751	-1.72872700
6.05938753	-1.73361000
6.05963755	-1.73361000
6.05988756	-1.72872700
6.06013758	-1.72872700
6.06038759	-1.72872700
6.06063761	-1.72384300
6.06088763	-1.72872700
6.06113764	-1.74826000
6.06138766	-1.74337700
6.06163767	-1.71896000
6.06188769	-1.71407600
6.06213771	-1.73849300
6.06238772	-1.72384300
6.06263774	-1.73361000
6.06288775	-1.70919300
6.06313777	-1.72872700
6.06338779	-1.73361000
6.06363780	-1.73361000
6.06388782	-1.72872700
6.06413783	-1.72384300
6.06438785	-1.72384300
6.06463787	-1.74337700
6.06488788	-1.73361000
6.06513790	-1.72872700
6.06538791	-1.72872700
6.06563793	-1.74337700
6.06588795	-1.71896000
6.06613796	-1.73849300
6.06638798	-1.72872700
6.06663799	-1.71407600
6.06688801	-1.73361000
6.06713803	-1.71407600
6.06738804	-1.73361000
6.06763806	-1.72872700
6.06788807	-1.75802700
6.06813809	-1.73361000
6.06838811	-1.73361000
6.06863812	-1.72384300
6.06888814	-1.73849300
6.06913815	-1.71896000
6.06938817	-1.73361000
6.06963819	-1.72384300
6.06988820	-1.72384300
6.07013822	-1.72872700
6.07038823	-1.71896000
6.07063825	-1.70919300
6.07088827	-1.74337700
6.07113828	-1.73849300
6.07138830	-1.74337700
6.07163831	-1.72384300
6.07188833	-1.73849300
6.07213835	-1.72384300
6.07238836	-1.72872700
6.07263838	-1.73849300
6.07288839	-1.71896000
6.07313841	-1.73361000
6.07338843	-1.74337700
6.07363844	-1.72384300
6.07388846	-1.74337700
6.07413847	-1.73849300
6.07438849	-1.74337700
6.07463851	-1.70919300
6.07488852	-1.72872700
6.07513854	-1.72872700
6.07538855	-1.73361000
6.07563857	-1.71896000
6.07588859	-1.72872700
6.07613860	-1.73361000
6.07638862	-1.73849300
6.07663863	-1.72872700
6.07688865	-1.73361000
6.07713867	-1.73849300
6.07738868	-1.72872700
6.07763870	-1.72384300
6.07788871	-1.72872700
6.07813873	-1.72384300
6.07838875	-1.73849300
6.07863876	-1.74337700
6.07888878	-1.71407600
6.07913879	-1.72384300
6.07938881	-1.72384300
6.07963883	-1.73361000
6.07988884	-1.72384300
6.08013886	-1.72872700
6.08038887	-1.72384300
6.08063889	-1.72872700
6.08088891	-1.72384300
6.08113892	-1.72872700
6.08138894	-1.74826000
6.08163895	-1.73361000
6.08188897	-1.72872700
6.08213899	-1.70919300
6.08238900	-1.72872700
6.08263902	-1.71407600
6.08288903	-1.73849300
6.08313905	-1.72872700
6.08338907	-1.74337700
